artist,genre,title,album,lyrics,labels
The Doors,Rock,Light My Fire,The Doors,"Știți că ar fi neadevărat, știți că aș fi un mincinos dacă aș fi să vă spun fete, nu am putea să-l dăm mult mai sus, să-mi lumina bebelușului, să-mi aprindeți bebelușul, să încercați să vă apucați noaptea, timpul pentru a ezita este că, în niciun moment pentru a nu se întinde în mire, încercați acum, nu putem pierde doar și dragostea noastră să devină un pyre înmormântat să-mi aprindă bebelușul, fără să-mi lumineze copilul să încerce să încerce să pună la foc. mire încercați acum, nu putem decât să pierdem doar și dragostea noastră devine o pire funerară, veniți la bebeluș, lumina mea, ieșiți la lumină pentru bebeluș, incendiatul meu încearcă să dau noaptea pe foc, știi că ar fi neadevărat, știi că voi fi un mincinos, dacă aș spune că nu am putea să incendiez mult mai sus, incendiul incendiului meu, incendiul incendiului meu încearcă să incepe noaptea incendiului incet să incendiezi noaptea in foc, încercând ca incendiul meu să încerce să incepe noaptea incendiului incet să incendieze noaptea in foc, incet să pună incendiul incendiului incet să incepe noaptea incendiului incet să incendieze noaptea in foc, incet să pună incendiu incendi","['Amazement', 'Joyful activation', 'Power', 'Tenderness']"
Dr. Dre,Hip-Hop,Medicine Man,Compton,"Doc document ai primit să ne dai câteva vești bune despre asta ... Nu mă lăsa să aflu cățeaua din tine nu mă lasă să aflu snitch-ul din tine și averea nu este să-ți dracuți lumea, acum am terminat cu ordinele doctorului Foreplay: Du-te la dracu, ia-ți două dintre acestea în partea de dimineață, și să te omori de comenzi ale medicului, și să-mi fie, chiar și să te activezi, să te pot activa pe toți să te poți activa pe copii să-i asculți pe care să-l asculți. Internet a rămas în loc salivarea nu sunt nimeni absolvirea nu-i place nimeni nu-i place acest rahat așa cum o iubesc, de aceea am o urăște pe toată lumea pentru faimă, încât nu sunt exageratie la naiba, sunt agravată dracu, sunt profesori agitați, așa că neplătite în aceste școli nenorocite, poliția ne-am agravat în ceea ce mă ocup de profesori agitați, așa că, în mod neplătit, în aceste dracului de școli, poliția ne-a luat numele în toate bazele de date, fetele îmi spun că, în douăzeci și două de nigte? Acești negri în rahat strâns, sunt în nenorocitul matrice, arată ca un semn al timpului revelației de la întoarcerea celui mai mare, am primit toți acești pacienți, cum de nu au răbdare cu mine? Ei cred doar că vreau banii de ce? Când nu pot să o iau cu mine, toți nu o faceți pentru dragostea pentru iubire, nu, ei gong află despre cine doar recunoașteți că este să vă recunoașteți să spuneți despre ce trăiți? La dracu ', spune-mi? Îți amintești de unde ai început totuși? arăți pierdut acum vrei o trecere? La naiba! Fake It 'până când îl faci să-ți ia mica hârtie, dar când te uiți în oglindă, credibilitatea ta a dispărut acum, aș prefera să fiu urât pentru cine sunt decât să fiu iubit pentru cine nu sunt, care este cuvântul la docul și averea nu este fortul tău dracu' lumea acum am terminat cu ordinele doctorului: du-te să te ia dracu ', în lumea, nu am terminat, în timp ce te-am ucis, doar că a început să începă shook off Prob'ly reminded you of the first time you saw Tiger Woods golf Never thought about how much my race and nationality meant But based on how I ascended See how plain it was now they want me to jet But no one really gave a fuck about my descent ' til I took off Mistook me because I looked soft But I stood tall I just followed the Doctor 's orders So I rose and grew balls told these hoes to screw off Decided opposing you is what i am ‘ posed to do all Am făcut-o a fost să spun ce simt atunci când cabina vocală vă sună și v-a avut pe ace și ace când v-am vorbit cu tot ce mi-ați simțit durerea, este aproape ca și cum am bătut păpușile voodoo și sper că spiritul meu bântuie studiourile când am plecat imaginea mea sare de pe un afiș și doar plutesc prin sălile și dracului de a-l face pe Walls, cum ar fi fantoma lui Lou rawl, care a plecat Krma Karma, care a fost headdon, care se va duce la cămașă, care se va duce la armata, care se va duce la setul lui Lou rawl, care se va duce la căpr. În deja, am primit un braț și un cap în cine a spus că cuvintele sunt doar cuvinte, nu mă aud să-i spun, le dau dracu dacă imaginea mea chiar sfârșește prin a lua un hit personal pe cine am rănit sau de orice poduri pe care le-am ars în această cățea și orice ar fi că bitch-urile se simt ca și cum nu au meritat ceea ce obțin și orice consecințe vor veni cu fiecare, merită, astfel încât Doc să transforme ritmul a cărui rând este să-l ucidă pe el? Și iată-i în toți anii pe care i-am petrecut în timp ce am petrecut o linie pentru ore suplimentare, la fel de sigur, precum o aluniță îmi este orb în mintea mea, sunt încă în subteran ca un pasaj și am mers pentru a mea, ca o brazdă întreagă, doar încerc să săpați niște aur și diamante și cărbune pentru a găsi niciun semn de încetinire a acestor linii, sunt cei 9 ani. În toată ziua în această zi, o să spunem când să explodezi doar să-mi dai ordinea în care să pulverizez dureri în fund, vei fi împușcat în fund cu o armă de vopsea nu sunt nimeni în siguranță de non-credincioși, nu sunt nimeni, chiar fac cățelele am violat cum aștept pe cineva să spună ceva dre să facă pompa de bas! Și lăsați banda să funcționeze de dragul timpului vechi! I Spit-o direct prin asta este să ia unul în momentul în care aștepți a venit, dar-faima și averea nu este o fortă dracu 'lumea, acum am terminat cu ordinele doctorului Foreplay: du-te să te duci la dracu să ia două dintre acestea în supradozajul de dimineață și să te omori de comenzile doctorului, comenzile doctorului dracu!","['Sadness', 'Tension']"
Alan Jackson,Country,What A Friend We Have In Jesus,Precious Memories,"Ce prieten avem în Isus toate păcatele și durerile noastre de suportat! Ce privilegiu să duci totul la Dumnezeu în rugăciune! O, ce pace pe care o pierdem adesea ce durere inutilă pe care o suportăm pentru că nu purtăm totul la Dumnezeu în rugăciune, avem încercări și ispite? Există probleme oriunde? Nu trebuie să fim niciodată descurajați; Luați-l Domnului în rugăciune, putem găsi un prieten atât de credincios care ne va împărtăși toate necazurile? Isus știe că fiecare slăbiciune o duce la Domnul în rugăciune","['Amazement', 'Calmness', 'Solemnity', 'Tension']"
George Strait,Country,Write This Down,Always Never The Same,"Nu am văzut niciodată sfârșitul la vedere; fools are kind of blind Thought everything was going alright but I was running out of time Because you had one foot out the door I swear I did not see But if you are really going away here 's some final words from me Baby write this down take a little note to remind you in case you did not know Tell yourself I love you and I do not want you to go write this down Take my words read them every day keep them close by do not you let them fade away So you will remember what I forgot to say write this down i will sign În partea de jos a paginii, voi înjura sub jurământ, pentru că fiecare cuvânt este adevărat și cred că trebuie să știți, așa că folosiți-l ca un marcaj să-l lipiți pe ușa frigiderului, să-l atârnați într-un cadru de imagine deasupra mantalei, unde îl veți vedea cu siguranță, puteți găsi o dalta pe care o pot găsi că o persoană de piatră vor citi aceste cuvinte după ce am plecat, te iubesc și nu vreau să pleci pentru copii să scrii asta în jos","['Nostalgia', 'Sadness', 'Tenderness']"
JAY-Z,Hip-Hop,Family Feud,4:44,"- ya my nigga my s-a urcat-ya my nigga my a primit pe toate șosetele albe fără albe-ya - ya my nigga mi-a obținut cocaina astăzi, așa se simte că mi-a făcut vocala-da, așa te simți Emory? - Îmi transforma vocala, mai transformați guru-ul meu vocal! - Ya întoarceți și muzica-YA - YA-YA Super Bowl-goluri, soția mea în pătuțul care alimentează copiii lichizi de copii, într-un mod cu totul altfel, copilul care obișnuia să cânte cărămizi nu poate fi porumbel, am gătit mai mult pui când bucătăria închisă, gong ajunge la un billi, i-am spus soției mele că rahatul spiritual cu adevărat lucrează alhamdulillah, pe care îl rulează, în primul rând, în care se vor ajuta, cu toate acestea, în care să-i fie pe toți de acasă mai degrabă am fost bătrâni bogat sau nou? Și vechile niggas, cu toții, încetați să acționați cu totul nou ca 2pac nu am un inel de nas și nimeni nu câștigă atunci când familia feudă, dar stash-ul meu nu se poate încadra în costumul lui Steve Harvey, sunt clar de ce sunt aici ce zici de tine? Nu sunt niciun fel de miliardar urât, sunt drăguț destul de mult dacă cineva primește verificări frumoase, ar trebui să fie noi dracu rap crack cocaine nah am făcut acele negre-deținute de sute de sute la sută negre-deținute de șampanie și am mâncat vesel din aceste fluxuri. Două două „în special dacă sunt din aceeași nuanță ca și voi, toți mă oprești când nu mai spun adevărul hahahaha-da, aș spune că sunt cel mai real nigga rapping-da, dar asta nu sunt nici măcar o declarație-da, este ca și cum ai spune că sunt cel mai înalt mijloc-așteptați că nu sunt corect să uitați din punct de vedere politic, să o uitați-puteți să„ am „amin” din congregație? AMEN AMEN-YA Pot să obțin un „Amen” din congregație? Amin Amen-Ya - Ya-Ya - Ya, voi dracu un lucru bun, dacă mă lași să mă las să-mi dau singur un bărbat care nu are grijă de familia lui nu poate fi bogat, voi urmări nașului, îmi lipsește că întregul rahat conștiința mea a fost bunul simț al lui Michael, că am ratat karma care a venit, ca o consecință, să-și împiedice, prin perdelele, pentru că a rănit Karma, care a căutat toți bebelușii să-și facă și să-și dea seama de perdelele nimănui să câștige kada care să piardă toți bebelușii să-și facă și să-și dea seama de perdelele nimănui să câștige că a făcut ca familia să-și piardă toți bebelușii, ca și să-și facă viitorul înșurubate pentru că nu am avut niciodată instrumentele pe care le încerc să vă remediez, încerc să obțină aceste niggas fără dungi pentru a fi oficial, toți credeți că sunt mici, cred că biggie ai întregul trecere este în pericol zece Mississippi al Sharpton în oglindă, luând selfie-uri cum este el sau pastile pentru a mă ajuta? Old Niggas nu m-a acceptat niciodată noi, este motivul pentru care am încetat să beau dos equis pe care îl pierdem cu toții când familia feudă ce este mai bine decât un miliardar? Two Hahahah i will be damned if I drink some Belvedere while Puff got CÎROC you all need to stop-ya - ya-ya - ya-ya - ya-ya - ya-ya - ya-ya - ya-ya - ya-ya - ya-ya - ya Love me like love Like.... Like.... Like.... Like.... Like.... Like.... Like.... Like.... Like.... Like.... Like.... Like.... Like....","['Joyful activation', 'Power', 'Solemnity']"
Wu-Tang Clan,Hip-Hop,Bring Da Ruckus,Enter the Wu-Tang (36 Chambers),"„Shaolin Shadowboxing și stilul sabiei. Dacă ceea ce spuneți este adevărat Shaolin și ar putea fi periculos. Crezi că sabia ta mă poate învinge?” „En Garde, te voi lăsa să încerci stilul meu.” Aduceți DA Motherfucking Ruckus! Adu-l pe Motherfucking Ruckus! Adu-l pe mama aduc da mamă ruckus! Adu-l pe Motherfucking Ruckus! Ghostface prinde explozia unui hype my glock izbucnirea într-o ascultare, am făcut mai rău, mă dau greu ca un elefant tusk-ul tău cap în grabă zbura ca egipteanul aww aww shit clan scânteie the wicks ang Cu toate acestea, stăpânesc trucul la fel cum Nixon provocând daune rapide ale tale, întreaga mea epocă, dau roci, este închisă dracu ', așa cum a fost împușcat P. L. O. De parcă sunt blocat „Watch Watch Me acționează înșelător și sfâșie analfabetul-melodii de tip types de tâmpenie care merg aur, fără îndoială, și urmărești un nigga corny, ei sunt falsi și tot ce poartă gats, dar clanul meu se rostogolește ca patruzeci de mack-uri, acum acționezi convins, cred că are sens să reprezinte! Aștept ca unul să acționeze acum, l-am ridicat pe arma la gât, acum reacționează ce? Și acesta este unul din Camera Banger 36 Stiluri de pericol Aduceți DA Motherfucking Ruckus! Adu-l pe Motherfucking Ruckus! Adu-l pe mama aduc da mamă ruckus! Adu-l pe Motherfucking Ruckus! Adu da mama aduc da adu da mamă ruckus! Adu-l pe Motherfucking Ruckus! Adu-l pe mama aduc da mamă ruckus! Adu-l pe Motherfucking Ruckus! Deci, aduce-l mai departe! Îl smulg hardcore ca niște cățelușe pe care le rostogolesc cu grupuri de ghetto ticăloși cu biscuiți verifică-l metoda mea pe argoul care lovește microfonul va părăsi cascada bustului atârnat. Și competiția este suflată de acest urât-fundul de fund cu nigga-ul meu, RZA a fost încărcat ca un taur și a fost tras ca o trigga atât de rău înjunghindu-se pe tampon cu crabul de vocab pe care îl țip pe fundul tău, ca tatăl tău să-l aducă pe ... adu da doamne ruckus! Adu-l pe Motherfucking Ruckus! Adu-l pe mama aduc da mamă ruckus! Adu-l pe Motherfucking Ruckus! i am more rugged than slave man boots New recruits i am fucking up MC troops I break loose and trample shit while I stomp A mudhole in that ass ' cause i am straight out the swamp Creeping up on site now it is Fright Night My slang is mad fucking dangerous And more deadly than the stroke of an axe Chopping through your back * swish * Giving bystanders heart attacks Niggas try to flip tell me who is him? I-am aruncat nenorocitul de prismă îl fac un act vicios de terorism, vrei să-l aduci, așa că dracu-l, hai și adu ruckus! Și am provocat niggas să lovească găleți, ud crem, nu ud faima cine vinde 'Caine? Dau un joc mortal, nu este rusul, ci ruleta zdrobitoare alunecă și te futi ca Suzette Bring Da Fucking Ruckus! Adu-l pe Motherfucking Ruckus! Adu-l pe Motherfucking Ruckus! „En Garde, te voi lăsa să încerci stilul meu.” Așa că aduce-l mai departe! Deci, aduce-l mai departe! Deci, aduce-l mai departe! Deci, aduce-l mai departe! Deci, aduce-l mai departe! Deci, aduce-l mai departe! Așa că aduceți-l pe nigga!","['Power', 'Tension']"
Bauhaus,Rock,Crowds,In the Flat Field,"Ce vrei de la mine, ce-mi dorești un pixie subțire subțire și mai mult un număr alb și desenat ce faci din mine, ce poți lua de la mine peisaje palide de pe încruntarea mea, lasă-mă să te smulg în sus și în jos pentru tine, am venit să-ți faci o dispreț larg și urăsc să cânt din tine în cântecele mele demențiale pentru tine, iar stimulațiile tale, să te speri prin mine Tu rahatul, vei scuipa pe mine, mă vei face să scuip și când ieșii urlează și ca și evreii lui Iisus, tu epitomizez, voi fi în continuare aici la fel de puternic ca tine și mă voi îndepărta în ciuda ta și voi îndepărta plecarea plecării repetă Repetă",['Tension']
George Strait,Country,Give It Away,It Just Comes Natural,"Ea a luat cu asalt prin casă în acea zi și am putut spune că pleacă și m-am gândit că se va întoarce până se va întoarce și a arătat spre perete și mi-a spus acea imagine din luna noastră de miere în acea noapte în Frisco Bay, doar dă-o, a spus că a dat-o și că Big Four-Poster King-Size Bed, în cazul în care a încercat atât de multă dragoste pentru a-l da doar, a spus că amândoi să-i ofere doar să-i dea, doar că nu este nimic, încât nu a încercat atât Mergeți mai departe, dar am descoperit că fiecare femeie pe care am ținut-o mi-a amintit de acea zi în care acea ușă din față se deschidea larg, ea și-a aruncat inelul de diamant a spus că dă-l, doar dă-o și am spus că acum mierea nu vrei chiar și jumătate din tot ceea ce a spus, dă-i doar să-i dai, doar să-i dai acolo, nu sunt nimic în această casă care merită să ne luptă Luna de miere din acea noapte în Frisco Bay, ea a spus că o dă bine, nu o pot da și acel mare pat de poster-poster -size, unde a fost făcută toată dragostea noastră, a spus să-i dea bine, nu pot să-l dau, am primit o casă mobilată un inel de diamant și o inimă frântă singură plină de dragoste și nici măcar nu pot să-l dau departe","['Nostalgia', 'Sadness', 'Tenderness', 'Tension']"
Nickelback,Rock,Animals,All the Right Reasons,"Eu conduc negru pe negru, tocmai mi-am primit permisul înapoi Am primit acest sentiment în vene, acest tren iese de pe pistă, voi întreba politicos dacă diavolul are nevoie de o plimbare pentru că îngerul din dreapta mea nu am rămas cu mine în această seară, mă duc pe lângă casa ta, în timp ce te-ai strecurat. Na a renunțat nu sunt nimic în neregulă cu el doar să acționăm ca și cum suntem animale animale, indiferent de locul în care mergem pentru că toată lumea știe că suntem doar câteva animale animale, așa că haideți copilul să intrați doar să intrați în check-ul în care suntem în care suntem în apropierea de mine pe scaun, vă puneți mâna între genunchi și controlați cât de repede mergem, cât de greu doriți să vă strângeți, în timp ce este greu să vă îndreptați atunci când sunteți de-a lungul meu, dar nu sunt atât Că ne îndreptam spre sud, cred că nimeni nu a învățat-o să nu vorbească cu o gură completă pentru că așa a fost ca și cum ar fi să fluturez pe un comutator, m-am simțit atât de bine, încât aproape că am condus în șanț, nu țipă, nu suntem niciodată, nu am renunțat să nu am nimic greșit cu el doar acționând ca și cum suntem animale, nu, indiferent de faptul că nu mergem pentru că toată lumea știe că nu suntem doar câteva animale, așa că am ajuns să ne ocupăm doar să ne uităm să ne uităm la probleme în care nu suntem în parte, în timp ce am fost parcați pentru copii, în timp ce nu am decât să ne uităm să ne ocupăm de probleme, în timp ce am fost parcați pentru copii the back and we just started getting busy When she whispered "" What was that? "" "" The wind I think ' cause no one else knows where we are "" And that was when she started screaming "" that is my dad outside the car! "" please the keys they are not in the ignition Must have wound up on the floor while we were switching our positions I guess they knew that she was missing As I tried to tell her dad it was her mouth that I was kissing Screaming No we are never gon na quit am not nothing wrong with it Doar acționăm ca și cum suntem animale animale, indiferent de locul în care mergem pentru că toată lumea știe că suntem doar câteva animale animale, așa că haideți copilul să intri, suntem doar câteva animale ajung doar să intru","['Joyful activation', 'Power', 'Solemnity', 'Tenderness']"
Stone Temple Pilots,Rock,Wicked Garden,Core ,"Poți vedea ca un copil? Poți vedea ce vreau? Vreau să trec prin grădina ta ticăloasă auzită că este locul unde să-ți găsesc pentru că sunt viu atât de viu acum știu că blind-urile de întuneric pe care le poți vedea fără ochi? Poți vorbi fără minciuni? Vreau să beau din fântâna ta goală, pot să-ți înec necazurile, sunt gon na ars ars te ars la viață acum din lanțurile care se leagă, poți vedea la fel ca un copil? Poți vedea exact ce vreau? Pot să te readuc la viață? Ți-e frică de viață? Arsură ars ars ars grădina ta ticăloasă în jos ars ars ars arde grădina ta ticăloasă la pământ poți simți durere în interior? Poți iubi? Poți plânge? Vreau să trec prin grădina ta ticăloasă auzită că este locul unde să te găsesc pentru că sunt în viață atât de viu acum din întuneric, încât jaluzele pe care le poți vedea la fel ca un copil? Poți vedea exact ce vreau? Pot să te readuc la viață? Ți-e frică de viață? Arsură ars ars arde grădina ta ticăloasă în jos ars ars ars arde grădina ta ticăloasă la pământ","['Power', 'Sadness', 'Solemnity', 'Tension']"
Merle Haggard,Country,That’s The Way Love Goes,That’s The Way Love Goes,"Am aruncat potcoave peste umărul stâng, mi-am petrecut cel mai mult toată viața căutând acel patru-trifoi cu frunze, dar ai alergat cu mine alungându-mi curcubeele dragă, te iubesc și pe care te iubesc și așa este modul în care dragostea este modul în care iubirea merge iubito, care este muzica pe care Dumnezeu le-a făcut pentru toată lumea să cânte „Nu este niciodată bătrân,„ pierde-mă, îmi face rău, îmi pare rău că „miere nu-ți face griji. Și acesta este modul în care merge dragostea","['Amazement', 'Calmness', 'Tenderness']"
J. Cole,Hip-Hop,Deja Vu,4 Your Eyez Only,"ayy put a finger in the sky if you want it nigga Ayy put two fingers in the sky if you want her Ayy put a finger in the sky if you want it nigga Ayy put two fingers in the sky if you want her Ayy put a finger in the sky if you want it nigga Ayy put two fingers in the sky if you want her Ayy put a finger in the sky if you want it nigga Ayy put two fingers in the sky if you Vrei să o vrei, uneori, să-ți faci griji, lucrurile pe care le poate oferi pentru tine ori de câte ori par să prinzi în viață pentru tine, în sfârșit, recunosc sentimentele care se află în interior pentru tine, deși te cunosc pe omul tău și să am încredere în mine, el va muri pentru că aceste gânduri liniștite despre voi merge de ani de zile, am văzut că în petrecere buzele moi, am venit și am vorbit cu tine, dar homie a intervenit acum, în timp ce te-a prezentat, în timp ce am păstrat-o pe fata lui și am fost o inimă, dar homie-ul care te-a prezentat, în primul rând Nu știu dacă cred că este adevărat, dar dacă îmi spune, dacă greșesc sau am dreptate dacă m-am îndrăgostit de tine înainte, chiar am știut că îți atrag atenția, atunci privesc ca și cum nu s-ar întâmpla niciodată uneori, de parcă aș fi prins într-un vis ciudat, dacă ochii ar putea să vorbească, atunci minele ar spune Niggas din orașul mic Am avut vise mai mari pe care le-a dracu cu niggas din orașul mic Am vise mai mari, ascultă clubul sărituri, nu te oprești de sus, dar știi că mergem doar până la 2 din ceas, am pus capotă de mamă în sus, este în weekend-ul în care se întoarce că fundul și cățelele ajung să te înnebunești la ultimul apel la băiatul doamnelor obțin o băutură nigga să obțină niște bile, nu mai bine să-ți spui că nu-ți faci decât să-ți spui că BITCH Opriți un nigga de băutură, nu mai bine, nu vă spuneți că, pentru că veți vedea că Bitch Opriți o băutură în așteptare, nu mai bine să vă spuneți că nu vă spune Bout pentru a tăia luminile și pentru a-mi pune numărul în el-te privesc de departe, mă întreb, te întreb de unde ești și cine ești? Pentru că îți este o stea-nu de tipul care sforăie liniile albe, mă refer la tipul care să lumineze noaptea în care am auzit că ai un bărbat, dar care în mintea lor dreaptă te lasă să ieși din casă singur? Spune-mi că este casa ta o casă? De ce te afli în club ca tine în zona ta? Now be discreet and pull out your phone and put my number in it Text a nigga when your man leave you unattended On a scale from 1 to 10 that girl 's a hundred and I want it No question I know destiny well And though I sin the Lord blessing me still Every saint got a past every sinner got a future Every loser got ta win and every winner got ta lose someday They say it is just a matter of time And if I had my way then you would be mine She fuck with small town Niggas Am avut vise mai mari pe care le-a dracu cu niggas din orașul mic Am vise mai mari ascultă ea dracu cu niggas din orașul mic Am vise mai mari pe care le-am dracu cu niggas din orașul mic Am primit un club de vise mai mari, nu te oprești de sus, dar știi că mergem doar până la 2 din ceas. NA vezi că curva mâine încetează să ții pe perete așteptând melodia potrivită mai bine holla pentru că știi că se întâmplă să tai luminile, știu că ai fost făcut pentru mine, dar draga nu mă aștepți pentru mine, pentru că pot vedea pământul promis, dar nu pot face niciun promițător, știu că ai fost făcut pentru mine, dar dragă, nu mă aștepți pentru mine, pentru că nu pot vedea terenul promis, dar nu pot să nu-l faci pe drag fingers in the sky if you want her Ayy put a finger in the sky if you want it nigga Ayy put two fingers in the sky if you want her Ayy put a finger in the sky if you want it nigga Ayy put two fingers in the sky if you want her Ayy put a finger in the sky if you want it nigga Ayy put two fingers in the sky if you want her","['Power', 'Sadness', 'Tenderness', 'Tension']"
​​blink-182,Rock,Blame It on My Youth,NINE,"Blame It Blame It in Youth, nu m-am născut cu sângele bogat pe care l-am început cu o mulțime de nimic la toate, am rămas blocat în noroiul gros, flash inundația punk punk rock și alcoolul pe care l-am fost crescut pe o reluare, m-am plictisit de moarte, așa că am început o trupă să-mi taie dinții pe un dans de siguranță, nu am avut nicio șansă să fie prea târziu să mă poți ierta acum? Nu mi-ai putea ucide niciodată înălțimea mea, eu sunt cerneala și ești titlul de vină, îl învinovățesc pe tinerețe, învinovățesc-l, învinovăți-l pe tinerețe, nu poți niciodată să-mi blochezi strălucirea, am fost pierdut din 1999, învinovățesc-l, învinovăți-l pe tinerețe, învinovăți-l pe tinerețe, vina vina pe tinerețe, nu am fost făcut pentru viața bună, am sfârșit prin a-l bloca pe partea pe care l-am declanșat și nu am căutat în timp ce s-a înșelat, cu un singur fel Du-mă să mă tai pe gardul vecinilor pe care l-am sărit în timp ce polițiștii au încercat să mă ia în ea este prea târziu, mă poți ierta acum? Nu mi-ai putea ucide niciodată înaltul meu I Am the Ink și ești titlul de vină, îl învinovățesc pe tinerețe, învinovățesc-l, învinovăți-l pe tinerețe, nu mi-ai putea bloca niciodată strălucirea pe care am fost pierdută din 1999, învinovățește-o, învinovăți-l pe tinerețe, învinovățindu-l pe tinerețe. Blame It Bulc It on My Youth Blame It Bulc It Old Youth, nu poți niciodată să-mi blochezi strălucirea Am fost pierdută din 1999, învinovățesc-o, învinovăți-l pe tinerețe, învinovăți-l, învinovăți-l în tinerețe, nu poți să-l ucizi niciodată pe vara mea înaltă nesfârșită.","['Joyful activation', 'Power', 'Solemnity', 'Tension']"
Pink Floyd,Rock,Dogs,Shine On,"Trebuie să fii nebun, ai o nevoie reală, ai să dormi pe degetele de la picioare și când ești pe stradă, trebuie să poți alege carnea ușoară cu ochii închiși și apoi să te miști în tăcere în vânt și la vedere, trebuie să te lovești când momentul este corect, fără să te gândești și după un timp, poți lucra la puncte pentru stil, cum ar fi egalitatea clubului, iar demacul ferm, un anumit aspect, când ar putea să-și dea un zâmbet ușor, pe care să-l faci, să-ți fie un zâmbet ușor, pe care îl vor face pe un zâmbet ușor, pentru a-și face un zâmbet ușor, trebuie Voi veți avea șansa de a pune cuțitul în tine, ai un ochi să-ți privești peste umăr, știi că va deveni din ce în ce mai greu și mai greu pe măsură ce îmbătrânești și, în final So have a good drown as you go down all alone Dragged down by the stone Stone stone stone... Got ta admit that i am a little bit confused Sometimes it seems to me as if i am just being used Got ta stay awake got ta try and shake off this creeping malaise If I do not stand my own ground how can I find my way out of this maze Deaf dumb and blind you just keep on pretending That everyone 's expendable and no one has a real friend And it seems to you the thing to do would be Pentru a izola câștigătorul, totul este făcut sub soare, dar credeți că la inimă este un criminal care s-a născut într-o casă plină de durere, care a fost instruit să nu scuipe în fanul căruia i s-a spus ce să facă de către omul care a fost rupt de personal instruit, care era echipat cu guler și lanț, care a fost dat un pat pe spate, care se desprindea de la pachetul, care era doar un străin, care a fost de la pământ, care a fost găsit în spate, care a fost găsit de la pachetul, care a fost doar un străin de acasă, care a fost un pământ, care a fost la sfârșit, care a fost găsit de la pachetul, care a fost doar un străin de acasă, care a fost un pământ, care a fost în spate, care a fost găsit de la pachet, care a fost doar un străin de acasă, care a fost în jos, care a fost la sfârșitul lui, care a fost găsit de la pachet, care a fost doar un străin acasă, care a fost un pate târât în ​​jos de piatră","['Nostalgia', 'Sadness', 'Solemnity']"
Catatonia,Rock,Dead From the Waist Down,Equally Cursed and Blessed,"Soarele strălucește că ar trebui să facem fân, dar suntem morți de la talie în jos, ca în victorie, este gol, există lecții în înfrângere, dar suntem morți de la talie în jos, dormim pe picioare, am furat cântecele de la păsările din copaci ne-au cumpărat timp pe strada ușoară acum căile noastre pe care nu le întâlnim niciodată că am ales să nu fac fân, să nu fac ca fânul să-l facă pe ego-ul nu am prins o sclipire, iar nu am făcut ca fânul să nu-l facă pe fân nu am făcut ca să-mi prind Hay, să nu-mi fac niciun fel talia în jos nu există contracte care nu leagă nici o scenă proastă dincolo de reparații, dar când ești mort de la talie în jos, ești prea departe chiar la îngrijire, am furat cântecele de la păsări din copaci ne-au cumpărat timp pe stradă ușoară acum căile noastre pe care nu le întâlnim niciodată, am ales să fac curte și mai flatat lăcomia ego-ului de: Strălucire .........","['Amazement', 'Calmness', 'Power', 'Sadness', 'Solemnity']"
Elvis Presley,Rock,Heartbreak Hotel,Elvis’ Golden Records,"Ei bine, de când copilul meu m-a părăsit bine, am găsit un nou loc în care să locuiesc bine, este la capătul Lonely Street la Heartbreak Hotel, mă faci atât de singur, copil, sunt atât de singur încât să ajung atât de singur încât aș putea muri, deși este întotdeauna aglomerat încât încă poți găsi un spațiu pentru că iubitorii de inimă rupți încât să plâng că ar putea muri acum Bellhop, încât să-ți păstrezi atât În negru bine, au trecut atât de mult pe strada singură, încât nu se vor uita niciodată înapoi, mă fac să mă faci atât de singur, bine, sunt atât de singur încât să devin atât de singur încât aș putea muri bine acum dacă copilul tău te lasă și ai o poveste să spui doar o plimbare pe strada singură, până la Heartbreak Hotel","['Joyful activation', 'Sadness']"
Miranda Lambert,Country,You Wouldn’t Know Me,The Weight of These Wings,"Nu m-ai cunoaște dacă m-ai vedea aici trezește-te la ușa ta din față, nu mă vei cunoaște niciodată, întrebându-mă cum nu vei mai ține niciodată în acest fel semnul de oprire a semnului de oprire, ceea ce este tot ce mi-a aruncat până când nu mă simt ca acasă, nu mai sunt aripi pe foc, am prins-o în afara unei noi case înmormântate în călcâie, nu-l spuneam că nu mă vei cunoaște dacă nu mă vei vedea aici, nu mă vei ține niciodată în fața ta. say Bad news is better than what you have been handing me what is gone wrong with you my friend Promise me promise me do not ask that of me now will not you just send me some word I told her You would not know me If you saw me here i am changing day to day that is right you will never know me by asking how I been you will never keep up that way that is what I say I told her You would not know me If you saw me here i am changing day to day that is right you will never know me by asking how I been you will Nu ține niciodată pasul așa, nu m-ai cunoaște că nu mă vei cunoaște","['Power', 'Sadness', 'Solemnity', 'Tenderness', 'Tension']"
